FRE6411	Fixed Income Securities and Interest Rate Derivatives	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE6451	Behaviorial Finance	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE6471	Applied Financial Econometrics	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE6491	Credit Risk & Credit Derivative	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE6513	Interm Deriv Valuat & Applic	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE6551	Accounting For Financial Products	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE6571	Asset-Backed Securities and Securitization	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE6591	Real Estate Finance and Mortgage-Backed Securities	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE6611	Credit Derivatives	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE6631	Applied Derivatives and Real Options Finance	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE6651	Term Structure Modeling and Advanced Interest Rate Derivatives	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE6671	Global Finance	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE6691	Intermediate Credit Derivatives Valuation and Applications	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE6711	Investment Theory & Practice	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE6731	Basel 2 and Value At Risk	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE6751	Credit Risk Measurement and Management	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE6771	Financial Optimization Techniques	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE6803	Financial Engineering (Research Course)	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE6911	Financial Regulation	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE7103	Macroeconomics	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE7801	Topics in Finance and Financial Markets I	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE7811	Topics in Finance and Financial Markets 2	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE7821	Topics in Actuarial Science I	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE7831	Topics in Financial and Risk Engineering I	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE7841	Topics in Actuarial Science II	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE7851	Topics in Financial and Risk Engineering 2	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL5373	Internet Architecture & Protocols Lab	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL5473	Introduction to Vlsi System Design	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL5613	Introduction to Electric Power Systems	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL6113	Signals, Systems and Transforms	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL6253	Linear Systems	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL6303	Probability Theory	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL6413	Analog and High Frequency Amplifier Design	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL6713	Electromagnetic Theory and Applications	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL5013	Wireless Personal Communication Systems	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL5023	Wireless Information Systems Laboratory I	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL5033	Wireless Information Systems Laboratory II	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL5123	Image Processing	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL5143	Multimedia Laboratory	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL5213	Introduction to Systems Engineering	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL5223	Sensor Based Robotics	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL5253	Applied Matrix Theory	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL5363	Principles of Communication Networks	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL5463	Introduction to Rf/Microwave Integrated Circuits	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL5483	Real Time Embedded Systems	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL5493	Advanced Hardware Design	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL5513	Electro-Optics I	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL5523	Electro-Optics II	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL5533	Physics of Nanoelectronics	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL5553	Physics of Quantum Computing	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL5623	Finite Elements For Electrical Engineering	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL5663	Physics of Alternative Energy	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL5673	Electronic Power Supplies	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL5683	Electric Drives Characteristics and Controls	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL5713	Microwave Engineering Laboratory/Project	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL5733	Rf and Microwave Systems Engineering	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL5753	Introduction to Plasma Engineering	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL5813	Biomedical Instrumentation	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL5823	Medical Imaging I	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL6013	Principles of Digital Communications: Modulation & Coding	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL6023	Wireless Communications: Channel Modeling and Receiver Design	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL6033	Modern Wireless Communication Techniques and Systems	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL6063	Information Theory	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL6073	Error Control Coding	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL6123	Video Processing	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL6183	Digital Signal Processing Laboratory	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL6213	System Modeling,analysis & Design	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL6223	Nonlinear and Sampled-Data Control Systems	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL6233	System Optimization Method	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL6243	System Theory and Feedback Control	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL6313	Stochastic Processes	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL6333	Detection and Estimation Theory	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL6373	Local and Metropolitan Area Networks	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL6383	High-Speed Networks	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL6393	Advanced Network Security	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL6423	Rf Electronics For Wireless Applications	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL6433	Digital Integrated Circuit Design	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL6443	Vlsi System and Architecture Design	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL6583	Fiber Optic Communications	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL6603	Power Electronics	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL6623	Power Systems Economics and Planning	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL6633	Transients, Surges and Faults in Power Systems	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL6643	Relay Fault Protection	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL6653	Power System Stability	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL6663	Distributed Generation Systems	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL6683	Adjustable Speed Drives	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL6723	Electromagnetic Radiation and Antennas	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
EL6753	Uhf Propagation For Wireless Systems	EECE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
